feature,importance,importance_pct,cumulative_pct
ohe__organization_type_Religion,0,0.0,100.00000000000003
ohe__name_income_type_Maternity leave,0,0.0,100.00000000000003
ohe__name_income_type_Student,0,0.0,100.00000000000003
binary__name_type_suite_missing,0,0.0,100.00000000000003
ohe__name_income_type_Unemployed,0,0.0,100.00000000000003
ohe__occupation_type_HR staff,0,0.0,100.00000000000003
ohe__organization_type_Industry: type 10,0,0.0,100.00000000000003
ohe__organization_type_Trade: type 5,0,0.0,100.00000000000003
ohe__organization_type_Trade: type 4,0,0.0,100.00000000000003
ohe__organization_type_Industry: type 13,0,0.0,100.00000000000003
ohe__organization_type_Industry: type 6,0,0.0,100.00000000000003
ohe__organization_type_Industry: type 8,0,0.0,100.00000000000003
ohe__occupation_type_Realty agents,0,0.0,100.00000000000003
